0.013,0.089,0.011,0.063,0.015,0.094,0.030,0.150,0.124,0.368,0.128,0.398,0.136,0.448,0.260,0.554
0.012,0.083,0.011,0.069,0.016,0.095,0.030,0.147,0.127,0.371,0.126,0.383,0.135,0.445,0.263,0.554
0.012,0.078,0.012,0.074,0.016,0.100,0.030,0.144,0.129,0.374,0.128,0.392,0.134,0.439,0.263,0.558
0.011,0.074,0.012,0.075,0.016,0.099,0.030,0.140,0.130,0.375,0.127,0.397,0.133,0.433,0.263,0.558
0.011,0.075,0.012,0.076,0.017,0.101,0.030,0.141,0.130,0.374,0.126,0.397,0.133,0.436,0.263,0.555
0.011,0.074,0.013,0.078,0.017,0.101,0.030,0.143,0.129,0.377,0.125,0.397,0.133,0.437,0.262,0.553
0.011,0.074,0.013,0.079,0.017,0.103,0.030,0.142,0.127,0.373,0.125,0.398,0.132,0.435,0.262,0.553
0.011,0.074,0.013,0.079,0.017,0.103,0.030,0.144,0.127,0.373,0.125,0.397,0.132,0.436,0.262,0.554
0.011,0.073,0.013,0.079,0.017,0.107,0.029,0.142,0.127,0.371,0.124,0.395,0.132,0.436,0.262,0.556
0.010,0.073,0.013,0.078,0.018,0.107,0.029,0.141,0.127,0.371,0.124,0.394,0.133,0.437,0.262,0.556
