0.005,0.019,0.005,0.043,0.019,0.087,0.019,0.056,0.082,0.161,0.063,0.161,0.109,0.304,0.141,0.329
0.005,0.023,0.005,0.043,0.018,0.085,0.018,0.060,0.075,0.150,0.065,0.168,0.106,0.292,0.146,0.322
0.004,0.018,0.005,0.042,0.016,0.079,0.018,0.064,0.076,0.148,0.064,0.160,0.105,0.289,0.146,0.303
0.004,0.018,0.005,0.044,0.016,0.076,0.019,0.067,0.076,0.148,0.063,0.163,0.103,0.282,0.148,0.302
0.003,0.018,0.006,0.044,0.016,0.078,0.019,0.071,0.076,0.149,0.063,0.161,0.103,0.274,0.148,0.301
0.004,0.020,0.006,0.042,0.016,0.075,0.018,0.070,0.076,0.148,0.064,0.162,0.103,0.274,0.148,0.297
0.003,0.019,0.005,0.040,0.017,0.075,0.018,0.068,0.076,0.148,0.064,0.163,0.103,0.275,0.148,0.294
0.003,0.020,0.006,0.041,0.017,0.075,0.018,0.066,0.076,0.150,0.064,0.164,0.104,0.275,0.146,0.290
0.003,0.022,0.006,0.042,0.017,0.074,0.018,0.065,0.076,0.150,0.064,0.163,0.105,0.277,0.147,0.290
0.004,0.023,0.006,0.042,0.017,0.075,0.018,0.067,0.076,0.151,0.064,0.164,0.105,0.277,0.148,0.291
